epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,713.009,1.68154,1.24698,1.65354,0.76031,0.785,0.81141,0.33637,1.878,1.23418,1.86126,0.00132868,0.00132868,0.00132868
43,729.724,1.58971,1.18885,1.58656,0.78953,0.80559,0.84172,0.34209,1.91496,1.18949,1.92413,0.00132043,0.00132043,0.00132043
44,746.475,1.65405,1.15389,1.63335,0.8063,0.78908,0.87569,0.39269,1.90468,1.14413,1.80174,0.00131218,0.00131218,0.00131218
45,763.15,1.6239,1.18938,1.59469,0.82639,0.76347,0.86952,0.36297,1.90874,1.17746,1.83459,0.00130393,0.00130393,0.00130393
46,779.942,1.64344,1.21985,1.62775,0.79335,0.74455,0.814,0.31196,2.0158,1.19581,2.03983,0.00129568,0.00129568,0.00129568
47,796.643,1.60819,1.18272,1.60823,0.80584,0.80353,0.85241,0.36333,1.83656,1.14445,1.79501,0.00128742,0.00128742,0.00128742
48,813.397,1.59535,1.20601,1.59806,0.84927,0.78853,0.8756,0.38871,1.84575,1.14554,1.78126,0.00127917,0.00127917,0.00127917
49,830.071,1.58875,1.16679,1.59854,0.84625,0.76792,0.84829,0.38293,1.85831,1.20113,1.81015,0.00127092,0.00127092,0.00127092
50,846.695,1.59206,1.16201,1.58439,0.83546,0.81356,0.88996,0.41132,1.80739,1.12879,1.77632,0.00126267,0.00126267,0.00126267
51,863.394,1.58197,1.21128,1.59395,0.86031,0.79945,0.87739,0.38837,1.82398,1.08067,1.75828,0.00125442,0.00125442,0.00125442
52,880.051,1.61527,1.16895,1.59812,0.87015,0.79475,0.88629,0.40452,1.79033,1.08428,1.70633,0.00124617,0.00124617,0.00124617
53,896.823,1.59728,1.12902,1.594,0.80641,0.84733,0.89232,0.38867,1.85798,1.08382,1.78841,0.00123791,0.00123791,0.00123791
54,913.462,1.55793,1.13431,1.56108,0.83092,0.76419,0.84671,0.38119,1.84444,1.13441,1.78568,0.00122966,0.00122966,0.00122966
