epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,712.47,1.45208,0.94655,1.51747,0.77753,0.79645,0.77949,0.3151,2.12698,1.08265,2.14828,0.00139635,0.00139635,0.00139635
43,728.68,1.3959,0.89758,1.46274,0.84404,0.83587,0.84653,0.32601,2.09262,1.00182,2.05143,0.00138974,0.00138974,0.00138974
44,744.964,1.41077,0.90115,1.49432,0.88759,0.87207,0.9046,0.3863,1.92943,0.92768,1.91326,0.00138314,0.00138314,0.00138314
45,761.329,1.41952,0.88786,1.48489,0.83067,0.85552,0.87244,0.39297,1.94628,0.96621,1.90401,0.00137654,0.00137654,0.00137654
46,777.598,1.41127,0.90155,1.47699,0.87028,0.8895,0.89639,0.38067,1.91945,0.95297,1.94508,0.00136994,0.00136994,0.00136994
47,794.958,1.41412,0.88033,1.48329,0.8724,0.87311,0.91046,0.39085,1.92995,0.94688,1.90718,0.00136334,0.00136334,0.00136334
48,811.713,1.43001,0.89256,1.46673,0.84361,0.87973,0.89803,0.40945,1.93745,0.94456,1.84787,0.00135674,0.00135674,0.00135674
49,828.763,1.39289,0.89618,1.47212,0.82859,0.83515,0.84288,0.34912,2.11857,1.01966,2.01257,0.00135014,0.00135014,0.00135014
50,845.546,1.39745,0.88361,1.44475,0.85268,0.85515,0.90275,0.39106,1.97917,0.98179,1.88797,0.00134354,0.00134354,0.00134354
51,861.595,1.3719,0.90188,1.44799,0.83685,0.85959,0.91508,0.40933,1.86119,0.90272,1.8356,0.00133693,0.00133693,0.00133693
52,877.714,1.42922,0.87336,1.467,0.83691,0.79246,0.87484,0.39684,1.89294,0.99707,1.83429,0.00133033,0.00133033,0.00133033
53,893.723,1.38922,0.8799,1.46318,0.81582,0.83088,0.85221,0.36813,2.04437,1.06321,1.90798,0.00132373,0.00132373,0.00132373
54,909.677,1.35598,0.85022,1.43098,0.8443,0.85147,0.8756,0.37248,1.99378,0.93896,1.88071,0.00131713,0.00131713,0.00131713
55,927.01,1.37536,0.84134,1.43103,0.8914,0.84488,0.92584,0.40616,1.89934,0.90342,1.80277,0.00131053,0.00131053,0.00131053
56,944.014,1.37227,0.8566,1.44488,0.88056,0.86543,0.91544,0.41086,1.93587,0.95748,1.87611,0.00130393,0.00130393,0.00130393
57,960.278,1.34352,0.84287,1.42614,0.86123,0.8382,0.90814,0.40602,1.97012,0.89295,1.91435,0.00129733,0.00129733,0.00129733
58,977.775,1.39163,0.82848,1.45463,0.81017,0.8768,0.8943,0.39274,2.03345,0.9269,2.00614,0.00129072,0.00129072,0.00129072
59,994.333,1.39391,0.87647,1.44964,0.84312,0.88309,0.90093,0.40686,1.87677,0.90726,1.84269,0.00128412,0.00128412,0.00128412
60,1010.93,1.39068,0.8577,1.45496,0.88801,0.85779,0.92309,0.39438,1.98892,0.90039,1.89231,0.00127752,0.00127752,0.00127752
61,1027.15,1.34715,0.81198,1.41651,0.82754,0.84651,0.91991,0.3948,1.95931,0.91544,1.8711,0.00127092,0.00127092,0.00127092
62,1043.69,1.39633,0.83712,1.44747,0.86953,0.86383,0.91973,0.4003,1.91769,0.89701,1.8132,0.00126432,0.00126432,0.00126432
63,1060.14,1.38319,0.85492,1.45513,0.84305,0.78808,0.86527,0.38507,2.03724,0.9555,1.90045,0.00125772,0.00125772,0.00125772
64,1076.55,1.3531,0.84175,1.41758,0.84475,0.81738,0.88512,0.3822,2.01033,0.98029,1.95259,0.00125112,0.00125112,0.00125112
65,1093.48,1.36461,0.83893,1.435,0.83508,0.87517,0.9027,0.37994,1.96071,0.93122,1.95478,0.00124452,0.00124452,0.00124452
66,1110.37,1.39367,0.87179,1.45793,0.87188,0.88646,0.89949,0.40138,1.95227,0.90768,1.92928,0.00123791,0.00123791,0.00123791
67,1127.02,1.34614,0.86492,1.43835,0.87622,0.85933,0.90575,0.39638,1.96335,0.93673,1.93973,0.00123131,0.00123131,0.00123131
68,1143.63,1.35155,0.81941,1.43492,0.86196,0.87377,0.87813,0.36904,2.0362,0.88823,1.99106,0.00122471,0.00122471,0.00122471
69,1159.98,1.33936,0.82487,1.41832,0.83067,0.9019,0.90687,0.40595,1.94173,0.85781,1.89416,0.00121811,0.00121811,0.00121811
70,1176.74,1.34008,0.81957,1.40955,0.88321,0.86303,0.90669,0.41384,1.94018,0.92764,1.87323,0.00121151,0.00121151,0.00121151
71,1194.03,1.36747,0.85061,1.44027,0.88827,0.87598,0.89707,0.39064,1.94231,0.9118,1.88349,0.00120491,0.00120491,0.00120491
72,1210.86,1.34585,0.84638,1.42199,0.83409,0.83793,0.89014,0.39159,1.94162,0.95984,1.91885,0.00119831,0.00119831,0.00119831
73,1227.97,1.32242,0.81988,1.40617,0.85132,0.83997,0.86021,0.3564,2.02117,1.00876,1.96426,0.0011917,0.0011917,0.0011917
74,1245.2,1.33329,0.83865,1.41712,0.90499,0.87058,0.92279,0.39972,2.01313,0.89177,1.94077,0.0011851,0.0011851,0.0011851
75,1261.81,1.34959,0.82776,1.4164,0.89638,0.91231,0.94211,0.4135,1.92355,0.87996,1.87758,0.0011785,0.0011785,0.0011785
76,1278.55,1.33732,0.82039,1.41392,0.91331,0.89215,0.9267,0.3937,1.94131,0.94538,1.87993,0.0011719,0.0011719,0.0011719
77,1295.19,1.27875,0.81645,1.3831,0.87591,0.86453,0.90206,0.3938,1.94845,0.91646,1.86129,0.0011653,0.0011653,0.0011653
78,1311.84,1.31591,0.80518,1.39867,0.88703,0.89345,0.91595,0.38995,1.9498,0.89436,1.90429,0.0011587,0.0011587,0.0011587
79,1328.98,1.28229,0.78017,1.38713,0.87172,0.87688,0.91441,0.40235,1.98282,0.86396,1.87165,0.0011521,0.0011521,0.0011521
80,1345.88,1.32314,0.79226,1.40501,0.88619,0.85796,0.91444,0.39199,1.94732,0.93466,1.85363,0.0011455,0.0011455,0.0011455
81,1362.78,1.33083,0.79738,1.39799,0.8438,0.85357,0.88406,0.35328,2.06751,0.93387,2.00016,0.00113889,0.00113889,0.00113889
82,1379.24,1.32711,0.79667,1.40157,0.86219,0.8588,0.88341,0.35682,2.07048,0.86859,2.01829,0.00113229,0.00113229,0.00113229
83,1395.86,1.34411,0.82018,1.4266,0.87507,0.86453,0.88929,0.37781,1.98132,0.92724,1.87027,0.00112569,0.00112569,0.00112569
84,1413.02,1.28627,0.78723,1.38813,0.86818,0.85723,0.89249,0.38347,1.98372,0.90873,1.88065,0.00111909,0.00111909,0.00111909
85,1429.57,1.28827,0.78346,1.38853,0.86886,0.83623,0.88642,0.37866,1.99066,0.90599,1.95677,0.00111249,0.00111249,0.00111249
86,1445.93,1.31472,0.81278,1.41753,0.79993,0.8128,0.87174,0.37662,1.98146,0.97581,2.00221,0.00110589,0.00110589,0.00110589
87,1463.07,1.29638,0.76366,1.38715,0.8316,0.76586,0.84169,0.36974,2.01827,0.98938,1.97797,0.00109929,0.00109929,0.00109929
88,1480.18,1.30941,0.77737,1.39983,0.84983,0.86237,0.88996,0.39325,2.03833,0.93021,1.94038,0.00109269,0.00109269,0.00109269
89,1497.06,1.31594,0.7777,1.38434,0.82363,0.89932,0.92106,0.3871,2.02326,0.91195,1.94465,0.00108608,0.00108608,0.00108608
90,1514.91,1.30467,0.79341,1.37862,0.85207,0.86697,0.90239,0.39816,1.95452,0.92078,1.87596,0.00107948,0.00107948,0.00107948
91,1531.69,1.27573,0.76991,1.37195,0.84972,0.79126,0.87564,0.38915,1.98937,0.99872,1.91055,0.00107288,0.00107288,0.00107288
92,1549.09,1.29601,0.78114,1.39808,0.86015,0.83587,0.88607,0.39038,2.00117,0.99484,1.9116,0.00106628,0.00106628,0.00106628
93,1567.7,1.31305,0.8063,1.39604,0.84698,0.85897,0.87429,0.37138,2.01303,0.96458,1.9232,0.00105968,0.00105968,0.00105968
