epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,687.058,1.42633,0.94299,1.50776,0.84029,0.80554,0.86982,0.38375,1.8669,0.99108,1.91811,0.00132868,0.00132868,0.00132868
43,703.505,1.38277,0.9208,1.46207,0.87339,0.81747,0.90277,0.38774,1.94809,1.11947,1.94146,0.00132043,0.00132043,0.00132043
44,720.005,1.42394,0.89366,1.49086,0.8385,0.80065,0.86737,0.37393,1.9764,0.98783,1.95494,0.00131218,0.00131218,0.00131218
45,736.428,1.38854,0.89154,1.46661,0.86584,0.84694,0.8985,0.39945,1.90827,0.9494,1.87882,0.00130393,0.00130393,0.00130393
46,752.802,1.40279,0.88628,1.47225,0.83361,0.86616,0.89692,0.38015,1.99131,0.97823,1.95984,0.00129568,0.00129568,0.00129568
47,768.929,1.37064,0.83426,1.45433,0.86537,0.84018,0.8882,0.36388,2.05531,0.93772,2.04078,0.00128742,0.00128742,0.00128742
48,784.898,1.40046,0.88596,1.43392,0.85395,0.83982,0.89737,0.40287,1.90839,0.92513,1.8254,0.00127917,0.00127917,0.00127917
49,800.885,1.37991,0.91244,1.45496,0.83811,0.81867,0.84532,0.37693,1.94606,0.97739,1.87209,0.00127092,0.00127092,0.00127092
50,816.805,1.37222,0.8659,1.436,0.8701,0.84215,0.89895,0.40056,1.91003,0.97351,1.82279,0.00126267,0.00126267,0.00126267
51,832.785,1.40072,0.90655,1.4623,0.88863,0.83625,0.90754,0.40761,1.88575,0.93313,1.82936,0.00125442,0.00125442,0.00125442
52,848.721,1.3857,0.84904,1.45246,0.87071,0.82892,0.89472,0.40114,1.90416,1.02471,1.88243,0.00124617,0.00124617,0.00124617
53,864.702,1.38299,0.85164,1.46803,0.88938,0.81009,0.89448,0.40135,1.9455,1.01461,1.86033,0.00123791,0.00123791,0.00123791
54,880.666,1.35021,0.8477,1.43879,0.84812,0.87924,0.92415,0.41075,1.94026,0.93699,1.87168,0.00122966,0.00122966,0.00122966
55,896.692,1.33781,0.84419,1.42108,0.87228,0.84671,0.92074,0.42039,1.87483,0.96283,1.80465,0.00122141,0.00122141,0.00122141
56,912.63,1.37065,0.83156,1.43996,0.84175,0.8979,0.9167,0.42007,1.85585,0.92553,1.81838,0.00121316,0.00121316,0.00121316
57,928.62,1.33643,0.82822,1.41273,0.88728,0.85959,0.90578,0.41523,1.90074,0.88683,1.81794,0.00120491,0.00120491,0.00120491
58,944.736,1.38501,0.82543,1.44254,0.87316,0.87351,0.89671,0.41268,1.90662,0.89638,1.84662,0.00119666,0.00119666,0.00119666
59,960.694,1.38014,0.86203,1.43358,0.86084,0.86294,0.88438,0.40101,1.92959,0.95535,1.83405,0.0011884,0.0011884,0.0011884
60,976.71,1.36042,0.86877,1.43382,0.83964,0.90689,0.91382,0.41792,1.82976,0.8995,1.78783,0.00118015,0.00118015,0.00118015
61,992.659,1.32143,0.81675,1.40845,0.82784,0.85163,0.89057,0.39899,1.88693,0.94588,1.83786,0.0011719,0.0011719,0.0011719
62,1008.57,1.39869,0.83418,1.4472,0.87992,0.86616,0.91394,0.40027,1.98546,0.91384,1.88448,0.00116365,0.00116365,0.00116365
63,1024.5,1.37902,0.86233,1.44499,0.86988,0.83311,0.88886,0.40109,2.008,0.96277,1.89091,0.0011554,0.0011554,0.0011554
64,1040.44,1.34019,0.83265,1.40732,0.83955,0.86084,0.9131,0.41242,1.90685,0.8984,1.81369,0.00114715,0.00114715,0.00114715
65,1056.44,1.34204,0.82528,1.41081,0.85101,0.894,0.91282,0.40807,1.93633,0.91265,1.85114,0.00113889,0.00113889,0.00113889
66,1072.38,1.37084,0.8496,1.42346,0.86525,0.86707,0.9091,0.41301,1.89903,0.87839,1.82911,0.00113064,0.00113064,0.00113064
67,1088.31,1.3262,0.84686,1.41872,0.87791,0.87075,0.91057,0.41836,1.84837,0.95986,1.7853,0.00112239,0.00112239,0.00112239
68,1104.26,1.32831,0.81467,1.41257,0.84005,0.84367,0.89245,0.41408,1.90497,0.98197,1.85023,0.00111414,0.00111414,0.00111414
69,1120.23,1.30295,0.80667,1.38947,0.86134,0.83523,0.87725,0.40302,1.96465,0.91944,1.87605,0.00110589,0.00110589,0.00110589
70,1136.21,1.33693,0.80419,1.39215,0.87246,0.87723,0.90191,0.39681,1.98047,0.95507,1.86963,0.00109764,0.00109764,0.00109764
71,1152.15,1.34503,0.82417,1.41338,0.85904,0.82904,0.87858,0.36075,2.09621,0.95526,1.96765,0.00108938,0.00108938,0.00108938
72,1168.23,1.35197,0.82208,1.42187,0.87759,0.85512,0.89881,0.38325,1.99678,0.93207,1.93319,0.00108113,0.00108113,0.00108113
73,1184.18,1.28813,0.79693,1.38271,0.80378,0.8105,0.83118,0.37375,1.95768,1.0219,1.89025,0.00107288,0.00107288,0.00107288
74,1200.12,1.32603,0.8188,1.40174,0.88231,0.86614,0.909,0.40446,1.94703,0.88714,1.8854,0.00106463,0.00106463,0.00106463
75,1216.09,1.31029,0.81614,1.388,0.85866,0.86861,0.89491,0.41026,1.93683,0.90362,1.86039,0.00105638,0.00105638,0.00105638
76,1232.09,1.31268,0.8001,1.39377,0.88137,0.85308,0.91055,0.39554,1.95024,0.95888,1.88405,0.00104813,0.00104813,0.00104813
77,1248.23,1.24574,0.78648,1.35906,0.87542,0.86616,0.91327,0.40126,1.97061,0.89949,1.86771,0.00103987,0.00103987,0.00103987
78,1264.54,1.28114,0.78929,1.37542,0.86773,0.84236,0.90198,0.39106,1.97263,0.97953,1.89983,0.00103162,0.00103162,0.00103162
79,1280.52,1.2378,0.7714,1.35604,0.90029,0.87761,0.90713,0.40851,1.98748,0.85039,1.90309,0.00102337,0.00102337,0.00102337
80,1296.56,1.30005,0.7609,1.39533,0.86845,0.86582,0.92398,0.406,1.96511,0.89525,1.89399,0.00101512,0.00101512,0.00101512
81,1312.54,1.30695,0.79137,1.38152,0.89011,0.86313,0.90184,0.37851,2.00797,0.90308,1.91499,0.00100687,0.00100687,0.00100687
82,1328.5,1.30488,0.77181,1.38395,0.84866,0.86215,0.87481,0.35637,2.0528,0.93095,2.00806,0.000998616,0.000998616,0.000998616
